"","title","movieInfo","point","review"
"1","몬스터 헌터","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=190011&target=after","10","재미있게 잘 봤습니다 감사합니다 "
"2","승리호","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=186342&target=after","10","꽃님이 너무 이쁘다 귀여오 "
"3","미션 파서블","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=189124&target=after","10","최고의 킬링타임 영화입니다~ "
"4","죽지않는 인간들의 밤","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=183854&target=after","10","양동근이 다했다 ㅋㅋㅋㅋ 웃다가 배아파숨질뻔 진심 알바아님 ㅠ "
"5","터미네이터 2:오리지널","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=10200&target=after","10","1991년작이란게 믿기지 않는다 "
"6","어바웃 타임","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=92075&target=after","10","이 영화보는내내 참 좋은시간이었다 "
"7","어바웃 타임","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=92075&target=after","10","삶을 되돌아보는 큰 계기를 만들어준 아주 멋지고 감동적이며 잘 만들어진 빼어난 수작이다. "
"8","새해전야","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=190382&target=after","10","연말 연초에 보면 좋을거같고 수영 연기도 좋았습니다! 스토리가 재미있고 공감갑니다! 천두링도 나와서 신기하고 예뻐요 "
"9","몬스터 헌터","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=190011&target=after","5","킬링타임에 충실했네스토리에 좀더 신경쓰면 좋았을것을... 이거보고 심형래감독이 영화만들려고 하지말길.. "
"10","미스비헤이비어","https://movie.naver.com/movie/point/af/list.nhn?&page=1?st=mcode&sword=192623&target=after","5","영화 내내 미에 집착하는 사람들을 한심하게 바라보고 그에 반대하는 사람의 이야기가 정말 지루하게 진행된다. 마지막 씬 하나가 이 앞의 러닝타임의 이야기보다 많은 얘길 담고 있고 메시지를 던진다. "
"11","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=196051&target=after","10","와 핵재밌어요! 남친때문에 시즌1 정주행하고 봤는데 와.... 진짜 감탄밖에 안나오네요 진심 최고 2시간은 무슨 10시간이었어도 10분같았을듯해요 "
"12","어바웃 타임","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=92075&target=after","10","내 인생 최고의 영화입니다  감사드립니다. ♥ "
"13","승리호","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=186342&target=after","10","내가 과학공상 영화를 좋아하지 않았는데, 내가 처음으로 재밌게 본 공상영화였다. "
"14","천문: 하늘에 묻는다","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=181381&target=after","1","둘이무슨 애로물 사극 연기하나... 너와나의 저별이러게 오글거려서 못보겠네 웰케 연기가 어색한데...게이물 영화보는줄... "
"15","더블패티","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=196361&target=after","10","꿈을 위해 달려가는 청춘. 내가 살면서 무언가에 그렇게 몰입해 본 적이 있을까 "
"16","신과함께-인과 연","https://movie.naver.com/movie/point/af/list.nhn?&page=2?st=mcode&sword=167697&target=after","1","억지스러운 캐릭터와 전개 "
